epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.31023,1.33547,2.86932,1.64319,0.57454,0.85,0.87817,0.63489,1.64856,1.07041,1.38313,0,0,0
2,2.50548,1.20449,2.69367,1.51108,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,3.74919,1.15966,3.63326,1.57285,0.55955,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,4.89353,1.27722,2.74015,1.38867,0.56025,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,6.03512,1.37189,3.08506,1.72628,0.56731,0.85,0.85526,0.63771,1.65851,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,7.19595,1.56147,4.11411,1.96444,0.54412,0.85,0.8936,0.63825,1.68516,1.05841,1.37757,5.65548e-06,5.65548e-06,5.65548e-06
7,8.46625,1.13967,1.91298,1.41946,0.53943,0.85175,0.89406,0.64255,1.68385,1.0593,1.37695,6.71588e-06,6.71588e-06,6.71588e-06
8,9.67152,1.37579,4.0186,1.61425,0.55027,0.8595,0.85911,0.61257,1.64323,1.05731,1.35289,7.75273e-06,7.75273e-06,7.75273e-06
9,10.8732,1.11601,2.70379,1.41089,0.56883,0.86388,0.81827,0.59503,1.66466,1.05933,1.36332,8.76602e-06,8.76602e-06,8.76602e-06
10,12.0475,1.18649,3.4474,1.5955,0.57996,0.86409,0.81418,0.59503,1.65644,1.05652,1.3566,9.75574e-06,9.75574e-06,9.75574e-06
11,13.2412,1.20761,2.46919,1.4528,0.59064,0.86375,0.85581,0.6199,1.65354,1.06317,1.35587,1.07219e-05,1.07219e-05,1.07219e-05
12,14.4337,0.9916,2.00646,1.36619,0.58563,0.86406,0.85561,0.62083,1.6625,1.07372,1.36346,1.16645e-05,1.16645e-05,1.16645e-05
13,15.6681,0.87115,2.23878,1.13211,0.59041,0.86667,0.85501,0.62082,1.64935,1.07347,1.35344,1.25835e-05,1.25835e-05,1.25835e-05
14,16.8734,1.0837,2.18853,1.48391,0.5978,0.86667,0.88803,0.62731,1.65277,1.09405,1.35794,1.3479e-05,1.3479e-05,1.3479e-05
15,18.0763,0.92837,1.6484,1.12279,0.60696,0.86667,0.88802,0.62731,1.65172,1.10163,1.35898,1.43509e-05,1.43509e-05,1.43509e-05
16,19.2173,1.22302,2.47908,1.62318,0.61081,0.86667,0.8751,0.62675,1.66366,1.12327,1.36878,1.51993e-05,1.51993e-05,1.51993e-05
17,20.4345,0.84406,1.78375,1.19114,0.62084,0.7,0.87291,0.6263,1.66303,1.13368,1.37186,1.60241e-05,1.60241e-05,1.60241e-05
18,21.6841,1.15498,1.55079,1.3597,0.62084,0.7,0.87291,0.6263,1.66303,1.13368,1.37186,1.68253e-05,1.68253e-05,1.68253e-05
19,22.9024,0.98119,1.90825,1.13643,0.77401,0.65,0.86188,0.61114,1.67016,1.17723,1.38091,1.7603e-05,1.7603e-05,1.7603e-05
20,24.1068,0.89659,1.53778,1.2115,0.77401,0.65,0.86188,0.61114,1.67016,1.17723,1.38091,1.83571e-05,1.83571e-05,1.83571e-05
21,25.3017,1.29318,2.49384,1.71489,0.77055,0.65,0.85531,0.6099,1.68423,1.21163,1.38884,1.90876e-05,1.90876e-05,1.90876e-05
22,26.5428,1.08413,2.34028,1.52006,0.77055,0.65,0.85531,0.6099,1.68423,1.21163,1.38884,1.97946e-05,1.97946e-05,1.97946e-05
23,27.7312,1.05843,1.82014,1.47306,0.74577,0.65,0.85514,0.6192,1.6824,1.23299,1.3857,2.0478e-05,2.0478e-05,2.0478e-05
24,29.0302,1.12141,2.21573,1.53885,0.74577,0.65,0.85514,0.6192,1.6824,1.23299,1.3857,2.11379e-05,2.11379e-05,2.11379e-05
25,30.284,0.83425,1.47185,1.21104,0.71365,0.66105,0.85536,0.61104,1.68367,1.27649,1.38611,2.17741e-05,2.17741e-05,2.17741e-05
26,31.6238,1.15431,1.85774,1.45473,0.71365,0.66105,0.85536,0.61104,1.68367,1.27649,1.38611,2.23869e-05,2.23869e-05,2.23869e-05
27,32.8204,0.91767,1.66948,1.39746,0.7056,0.66937,0.85559,0.6134,1.70481,1.30526,1.40107,2.2976e-05,2.2976e-05,2.2976e-05
28,34.0737,0.80541,1.24562,1.14514,0.7056,0.66937,0.85559,0.6134,1.70481,1.30526,1.40107,2.35417e-05,2.35417e-05,2.35417e-05
29,35.3183,0.99849,1.53093,1.27439,0.70106,0.67367,0.85533,0.61299,1.67477,1.31119,1.37983,2.40837e-05,2.40837e-05,2.40837e-05
30,36.6366,1.26715,2.36726,1.60061,0.70106,0.67367,0.85533,0.61299,1.67477,1.31119,1.37983,2.46022e-05,2.46022e-05,2.46022e-05
31,38.0223,0.97471,1.43003,1.29085,0.6865,0.66667,0.85215,0.59232,1.684,1.34978,1.38654,2.50971e-05,2.50971e-05,2.50971e-05
32,39.324,0.81355,1.26161,1.2101,0.6865,0.66667,0.85215,0.59232,1.684,1.34978,1.38654,2.55685e-05,2.55685e-05,2.55685e-05
33,40.5499,0.75954,1.32156,1.33227,0.67036,0.6931,0.85247,0.60733,1.67069,1.3821,1.38371,2.60163e-05,2.60163e-05,2.60163e-05
34,41.8238,1.05243,1.24682,1.30727,0.67036,0.6931,0.85247,0.60733,1.67069,1.3821,1.38371,2.64405e-05,2.64405e-05,2.64405e-05
35,43.1054,0.88893,2.14798,1.30197,0.66473,0.7,0.85257,0.59108,1.6824,1.42038,1.39037,2.68412e-05,2.68412e-05,2.68412e-05
36,44.2443,0.96016,1.47547,1.20062,0.66473,0.7,0.85257,0.59108,1.6824,1.42038,1.39037,2.72183e-05,2.72183e-05,2.72183e-05
37,45.5358,0.78034,1.11731,1.1754,0.68504,0.69602,0.85221,0.58361,1.65416,1.45465,1.37693,2.75718e-05,2.75718e-05,2.75718e-05
38,46.8242,0.45572,0.70641,0.96852,0.68504,0.69602,0.85221,0.58361,1.65416,1.45465,1.37693,2.79018e-05,2.79018e-05,2.79018e-05
39,48.0372,0.64217,0.93293,1.0178,0.68182,0.69114,0.85236,0.55713,1.63033,1.47898,1.36953,2.82082e-05,2.82082e-05,2.82082e-05
40,49.3645,0.79388,0.83402,1.16489,0.68182,0.69114,0.85236,0.55713,1.63033,1.47898,1.36953,2.84911e-05,2.84911e-05,2.84911e-05
41,50.588,0.76048,0.93091,1.06388,0.67772,0.67671,0.76921,0.47407,1.60605,1.49336,1.36381,2.87504e-05,2.87504e-05,2.87504e-05
42,51.8222,0.87246,1.87109,1.27738,0.67772,0.67671,0.76921,0.47407,1.60605,1.49336,1.36381,2.89861e-05,2.89861e-05,2.89861e-05
43,53.0291,0.84294,1.19748,1.22428,0.6625,0.67228,0.76248,0.47254,1.62589,1.54576,1.37761,2.91983e-05,2.91983e-05,2.91983e-05
44,54.2956,1.06769,0.99446,1.44855,0.6625,0.67228,0.76248,0.47254,1.62589,1.54576,1.37761,2.93869e-05,2.93869e-05,2.93869e-05
45,55.6531,0.61654,0.92334,0.99371,0.68025,0.6662,0.73306,0.44743,1.62122,1.56712,1.37731,2.9552e-05,2.9552e-05,2.9552e-05
46,56.8544,0.8197,0.9998,1.26889,0.68025,0.6662,0.73306,0.44743,1.62122,1.56712,1.37731,2.96935e-05,2.96935e-05,2.96935e-05
47,58.0101,0.88479,1.46919,1.36312,0.6902,0.65,0.71093,0.42751,1.64816,1.60989,1.40065,2.98114e-05,2.98114e-05,2.98114e-05
48,59.1834,0.79311,1.6473,1.17292,0.6902,0.65,0.71093,0.42751,1.64816,1.60989,1.40065,2.99058e-05,2.99058e-05,2.99058e-05
49,60.3467,0.67505,0.72355,1.24805,0.64347,0.67941,0.69853,0.40822,1.64718,1.63258,1.40031,2.99766e-05,2.99766e-05,2.99766e-05
50,61.5098,0.80816,0.82629,1.29993,0.64347,0.67941,0.69853,0.40822,1.64718,1.63258,1.40031,3.00238e-05,3.00238e-05,3.00238e-05
51,62.6766,0.85697,0.83519,1.15446,0.65499,0.68225,0.69462,0.40442,1.61957,1.63713,1.39247,3.00475e-05,3.00475e-05,3.00475e-05
52,63.9258,0.98854,0.99077,1.36476,0.65499,0.68225,0.69462,0.40442,1.61957,1.63713,1.39247,3.00476e-05,3.00476e-05,3.00476e-05
53,65.0654,0.64,0.69515,1.17888,0.65499,0.68225,0.69462,0.40442,1.61957,1.63713,1.39247,3.00242e-05,3.00242e-05,3.00242e-05
54,66.3428,0.77402,0.8926,1.21906,0.68739,0.67815,0.69332,0.41108,1.63467,1.68295,1.40583,2.99772e-05,2.99772e-05,2.99772e-05
55,67.5129,0.79758,0.93804,1.11981,0.68739,0.67815,0.69332,0.41108,1.63467,1.68295,1.40583,2.99066e-05,2.99066e-05,2.99066e-05
56,68.6202,1.11791,1.45062,1.5888,0.68739,0.67815,0.69332,0.41108,1.63467,1.68295,1.40583,2.98125e-05,2.98125e-05,2.98125e-05
57,69.8714,0.94211,1.5008,1.36832,0.72122,0.5,0.69047,0.40896,1.65866,1.71239,1.41893,2.96948e-05,2.96948e-05,2.96948e-05
58,71.1176,0.86755,1.46913,1.26963,0.72122,0.5,0.69047,0.40896,1.65866,1.71239,1.41893,2.95535e-05,2.95535e-05,2.95535e-05
59,72.3972,0.79361,0.84654,1.15887,0.72122,0.5,0.69047,0.40896,1.65866,1.71239,1.41893,2.93887e-05,2.93887e-05,2.93887e-05
60,73.6503,0.95394,0.80493,1.53316,0.82336,0.48901,0.68018,0.39147,1.6898,1.77745,1.43956,2.92003e-05,2.92003e-05,2.92003e-05
61,74.8683,0.63533,0.6744,1.06319,0.82336,0.48901,0.68018,0.39147,1.6898,1.77745,1.43956,2.89884e-05,2.89884e-05,2.89884e-05
